Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Josh Kirby: Time Warrior! Chap. 4: Eggs from 70 Million B.C. (Video 1996) - IMDb,Mark Manos,5.5,Action,Corbin Allred,1996,182,PG
Josh Kirby: Time Warrior! Chap. 5: Journey to the Magic Cavern (Video 1996) - IMDb,Ernest Farino,5.3,Action,Corbin Allred,1996,209,PG
Diary of a Seducer (1996) - IMDb,Danièle Dubroux,6.8,Comedy,Chiara Mastroianni,1996,302,1h 35m
The Journey of August King (1995) - IMDb,John Duigan,6.5,Drama,John Ehle,1995,1.1K,1h 31m
Utazás az Alföldön (Short 1995) - IMDb,Béla Tarr,6.5,Short,N/A,1995,329,35m
Judge Dredd (1995) - IMDb,Danny Cannon,5.6,Action,John Wagner,1995,127K,1h 36m
Judgement (Short 1995) - IMDb,David Winkler,6.8,Crime,Clarence Williams III,1995,148,31m
Dazzle (TV Movie 1995) - IMDb,Richard A. Colla,5.9,Drama,Lisa Hartman,1995,149,3h 1m
"""Julie Lescaut"" L'enfant témoin (TV Episode 1994) - IMDb",Bettina Woernle,6.1,Crime,Uwe Erichsen,N/A,10,1h 29m
Julkiset varjot (1995) - IMDb,Aito Mäkinen,N/A,Documentary,Joseph Brady,1995,N/A,59m
Jumanji (1995) - IMDb,Joe Johnston,7.1,High-Concept Comedy,Jonathan Hensleigh,1995,388K,1h 44m
Jungle of Identity (1995) - IMDb,Andrea Clavadetscher,N/A,N/A,N/A,1995,N/A,N/A
Jungleground (1995) - IMDb,Don Allan,5.3,Action,Roddy Piper,1995,539,1h 30m
The Jonsson Gang's Greatest Robbery (1995) - IMDb,Hans Åke Gabrielsson,5.0,Comedy,Hans Åke Gabrielsson,1995,2.4K,1h 39m
Die Jüdin und der Hauptmann - Eine Liebe in Minsk (1994) - IMDb,Ulf von Mechow,9.3,Documentary,"January 30, 1997 (Germany)",1994,12,1h 30m
KOEKOEK! (Short 1995) - IMDb,Martin Koolhoven,7.0,Comedy,Bram Biesterveld,1995,26,14m
Kabel und Liebe (1997) - IMDb,Konrad Sabrautzky,6.8,Comedy,Anne-Marie Bubke,1997,34,1h 26m
Kahini (1996) - IMDb,Malay Bhattacharya,4.6,Drama,Malay Bhattacharya,1996,29,1h 45m
Kakaya chudnaya igra (1995) - IMDb,Pyotr Todorovskiy,6.7,Drama,Andrey Ilin,1995,150,1h 33m
Der Kaktus (Short 1995) - IMDb,Franz Winzentsen,N/A,Animation,N/A,1995,N/A,2m
First Loves (TV Mini Series 1995) - IMDb,Shin'ichirô Miki,6.1,Anime,Shin'ichirô Miki,1995,24,28m
Kalaf (Short 1995) - IMDb,András Fésös,N/A,Short,Zsolt Anger,1995,N/A,N/A
Kalte Heimat (1995) - IMDb,Volker Koepp,7.7,Documentary,N/A,1995,17,2h 37m
Kalte Nächte (1996) - IMDb,Kadir Sözen,6.5,Drama,Rahim Cakmak,1996,23,1h 32m
Kameleonten (Short 1995) - IMDb,Nils Claesson,N/A,Family,N/A,1995,N/A,17m
Kamien na kamieniu (1995) - IMDb,Ryszard Ber,6.6,Drama,Ryszard Ber,1995,36,1h 40m
Kamikaze Taxi (1995) - IMDb,Masato Harada,7.6,Action,Kôji Yakusho,1995,738,2h 49m
Kansas (TV Movie 1995) - IMDb,Robert Mandel,6.5,Drama,Patricia Wettig,1995,48,1h 33m
Das Kapital (TV Movie 1995) - IMDb,Xaver Schwarzenberger,6.6,Comedy,Christiane Hörbiger,1995,20,1h 29m
Karan Arjun (1995) - IMDb,Rakesh Roshan,6.8,Action,Rakhee Gulzar,1995,16K,2h 55m
Karmyoddha (1992) - IMDb,Dayal Nihalani,6.9,Action,Raj Babbar,1992,37,N/A
Kartavya (1995) - IMDb,Raj Kanwar,5.4,Action,Sanjay Kapoor,1995,90,N/A
Edgar Wallace: Das Karussell des Todes (TV Movie 1996) - IMDb,Peter Keglevic,4.4,Crime,Joachim Kemmer,1996,35,46m
Karuththamma (1994) - IMDb,Bharathiraja,7.2,Drama,Maheshwari,1994,211,2h 33m
Mannen utan ansikte (1995) - IMDb,Lauri Törhönen,4.7,N/A,Tom Pöysti,1995,52,1h 19m
"Katharina oder: Die Kunst, Arbeit zu finden (TV Movie 1995) - IMDb",Barbara Trottnow,N/A,Biography,Heidi Ecks,1995,N/A,1h 20m
Born to Be Wild (1995) - IMDb,John Gray,5.2,Adventure,Paul Young,1995,1.7K,1h 40m
Katja Trojer (Short 1995) - IMDb,Christian Rodox,N/A,Short,N/A,1995,N/A,6m
The Keeper (1995) - IMDb,Joe Brewster,5.7,Crime,Giancarlo Esposito,1995,328,1h 32m
A kenyereslány balladája (TV Movie 1996) - IMDb,György Czabán,N/A,Biography,N/A,1996,N/A,1h 14m
Kicking and Screaming (1995) - IMDb,Noah Baumbach,6.7,Comedy,Noah Baumbach,1995,16K,1h 36m
A Kid in King Arthur's Court (1995) - IMDb,Michael Gottlieb,4.7,High-Concept Comedy,Thomas Ian Nicholas,1995,7K,1h 29m
Kidnapped (TV Movie 1995) - IMDb,Ivan Passer,6.6,Action,Robert Louis Stevenson,1995,531,TV-PG
Kids (1995) - IMDb,Larry Clark,7.0,Coming-of-Age,Harmony Korine,1995,87K,1h 31m
Kids of the Round Table (1995) - IMDb,Robert Tinnell,5.1,Adventure,Johnny Morina,1995,369,1h 29m
Killer: A Journal of Murder (1995) - IMDb,Tim Metcalfe,6.3,True Crime,James Woods,1995,2.4K,1h 31m
The Killers Within (1995) - IMDb,Paul Leder,4.2,Drama,Robert Carradine,1995,83,1h 32m
The Killers (Short 1995) - IMDb,Tanya Hamilton,5.2,Short,N/A,1995,12,20m
The Killing Seasons (Short 2001) - IMDb,Vicky Shen,N/A,Action,Todd Babcock,2001,N/A,9m
Killing for Love (1995) - IMDb,Mike Kesey,3.7,Thriller,John Henry Richardson,1995,147,1h 30m
Kimia (1995) - IMDb,Ahmad Reza Darvish,6.2,Drama,Khosro Shakibai,1995,317,1h 32m
Kinder des Satans (TV Movie 1995) - IMDb,Jürgen Dünnwald,6.5,Crime,Nicolette Krebitz,1995,39,1h 25m
"""Performance"" Henry IV (TV Episode 1995) - IMDb",John Caird,7.2,Drama,Ronald Pickup,N/A,29,2h 55m
Kingfish: A Story of Huey P. Long (TV Movie 1995) - IMDb,Thomas Schlamme,6.1,Biography,John Goodman,1995,533,1h 40m
Kinkyu yobidashi - Emâjenshî kôru (1995) - IMDb,Kazuki Ômori,5.8,Drama,Hiroyuki Sanada,1995,20,1h 46m
Kiss of Death (1995) - IMDb,Barbet Schroeder,5.9,Crime,Eleazar Lipsky,1995,21K,1h 41m
Kissing Miranda (TV Movie 1995) - IMDb,Aleks Horvat,6.3,Comedy,Larry Poindexter,1995,71,PG-13
Kissinger and Nixon (TV Movie 1995) - IMDb,Daniel Petrie,6.4,Drama,Ron Silver,1995,143,1h 37m
Kita no kuni kara '95 himitsu (TV Movie 1995) - IMDb,Shigemichi Sugita,7.7,Drama,Kunie Tanaka,1995,34,3h 3m
The Last Wedding (1995) - IMDb,Markku Pölönen,6.6,Comedy,Martti Suosalo,1995,1K,1h 30m
Zero Kelvin (1995) - IMDb,Hans Petter Moland,7.3,Drama,Stellan Skarsgård,1995,2.2K,1h 53m
Klash (1995) - IMDb,Bill Parker,5.9,Crime,Jasmine Guy,1995,136,1h 35m
Klangsäule (1995) - IMDb,Othmar Schmiderer,N/A,N/A,Beverly Sandwirth,1995,N/A,56m
"""Kommissar Klefisch"" Klefischs schwerster Fall (TV Episode 1995) - IMDb",Wolf Dietrich,7.0,Crime,Willy Millowitsch,N/A,6,1h 27m
Kleine Zeichen (1983) - IMDb,Gottfried Junker,N/A,N/A,Ursula Fischer,1983,N/A,1h 27m
"Die Kleins, 'The Stuff You Want' (Short 1995) - IMDb",Robert Altenburger,N/A,Short,N/A,1995,N/A,3m
Kleptomania (1993) - IMDb,Don Boyd,4.9,Psychological Drama,Amy Irving,1993,205,1h 30m
Knallhart daneben (TV Movie 1995) - IMDb,Sigi Rothemund,2.8,Comedy,Elmar Wepper,1995,21,1h 29m
Knuckleball (1995) - IMDb,John MacNeil,7.6,N/A,Conor Evans,1995,10,1h 24m
Knödel Clip (1995) - IMDb,Marcus Kanter,N/A,N/A,N/A,1995,N/A,N/A
Ghost in the Shell (1995) - IMDb,Mamoru Oshii,7.9,Adult Animation,Atsuko Tanaka,1995,162K,1h 23m
Wind Beneath the Wings (1995) - IMDb,Andy Wing-Keung Chin,5.5,Romance,Valerie Chow,1995,10,1h 36m
Der Kontrolleur (1995) - IMDb,Stefan Trampe,6.8,Psychological Drama,Hermann Beyer,1995,17,1h 3m
Der Kopf des Mohren (1995) - IMDb,Paulus Manker,6.8,Drama,Gert Voss,1995,165,2h
Kopfjagd (TV Movie 1995) - IMDb,Eric Civanyan,5.8,Comedy,Valentine Varela,1995,8,1h 26m
Korea (1995) - IMDb,Cathal Black,7.2,Drama,Donal Donnelly,1995,127,1h 27m
Kosz (Short 1995) - IMDb,Pepi Öttl,N/A,Short,N/A,1995,N/A,3m
Krestonosets (1995) - IMDb,Aleksandr Inshakov,4.5,Action,Olga Kabo,1995,164,2h
Kristin Lavransdatter (1995) - IMDb,Liv Ullmann,4.5,Drama,Elisabeth Matheson,1995,1K,3h
Dragon Killer (1995) - IMDb,Tony Liu,4.7,Action,Simon Yam,1995,60,1h 32m
Kuang ye sheng si lian (1995) - IMDb,Tony Au,5.4,Crime,Radium Cheung,1995,44,1h 43m
Különbözö helyek (Short 1995) - IMDb,András Fésös,6.5,Documentary,Wim Wenders,1995,20,35m
Kummeli Stories (1995) - IMDb,Matti Grönberg,7.0,Comedy,Heikki Hela,1995,2.5K,1h 30m
Just a Girl (1995) - IMDb,Peter Schrøder,6.5,Biography,Waage Sandø,1995,481,2h 50m
Kutzooi (Video 1995) - IMDb,Lodewijk Crijns,6.9,Short,Lodewijk Crijns,1995,45,34m
Két magyar nobel-díjas: Harsányi jános (1995) - IMDb,Hungary,N/A,N/A,N/A,1995,N/A,N/A
Két magyar nobel-díjas: Oláh György (1995) - IMDb,Hungary,N/A,N/A,N/A,1995,N/A,N/A
Közelképben az operatör: Zsigmond Vilmos (Short 1995) - IMDb,András Muhi,N/A,Short,N/A,1995,N/A,21m
Küß mich! (1995) - IMDb,Maris Pfeiffer,4.8,Comedy,Caroline Redl,1995,38,1h 30m
LA Homefront/the Fires Within (1995) - IMDb,Pamela Galvin,N/A,N/A,N/A,1995,N/A,N/A
Trouble Maker (1995) - IMDb,Yen-Ping Chu,6.0,Action,Shao-Wen Hao,1995,185,1h 28m
LaBENDIG (1995) - IMDb,Hannes Schönemann,N/A,Documentary,"October 21, 1995 (Germany)",1995,N/A,1h 29m
Il labirinto dei sensi (1994) - IMDb,Joe D'Amato,4.9,Drama,Leslie Wong,1994,117,1h 26m
Labirintos (1996) - IMDb,Mikael Dovlatyan,4.6,Drama,Serge Avedikian,1996,37,1h 30m
Ladies Please! (1995) - IMDb,Andrew Saw,6.9,Documentary,Adam Cahill,1995,29,48m
Lady Chatterley's Passions 2: Julie's Secret (1995) - IMDb,Pasquale Fanetti,4.3,Drama,Pasquale Fanetti,1995,77,1h 25m
Lady Killer (TV Movie 1995) - IMDb,Steven Schachter,5.5,Crime,Judith Light,1995,361,Not Rated
Lagodna (1995) - IMDb,Mariusz Trelinski,6.8,Drama,Janusz Gajos,1995,89,1h 33m
The Land Before Time III: The Time of the Great Giving (Video 1995) - IMDb,Roy Allen Smith,5.6,Animal Adventure,Scott McAfee,1995,6.7K,G
Landleben (Short 1995) - IMDb,Christian Berger,N/A,Documentary,N/A,1995,N/A,18m
Lang leve de koningin (1995) - IMDb,Esmé Lammers,7.3,Adventure,Maja van den Broecke,1995,1.3K,1h 58m
Midnight Caller (1995) - IMDb,Raymond Pak-Ming Wong,5.1,Comedy,Michael Wong,1995,40,1h 31m
"The Last Klezmer: Leopold Kozlowski, His Life and Music (1994) - IMDb",Yale Strom,8.6,Documentary,N/A,1994,32,1h 25m
The Last Samurai (1990) - IMDb,Paul Mayersberg,4.5,Action,John Fujioka,1990,323,1h 30m
Last Summer in the Hamptons (1995) - IMDb,Henry Jaglom,5.8,Comedy,Victoria Foyt,1995,449,1h 48m
The Last Supper (1995) - IMDb,Stacy Title,6.7,Dark Comedy,Cameron Diaz,1995,16K,1h 32m
The Last Train (1995) - IMDb,Josh Freed,N/A,Documentary,N/A,1995,N/A,N/A
The Last Village (Short 1993) - IMDb,Majid Majidi,8.4,Drama,Hassan Ghaffari,1993,148,41m
Last and First Seconds of a Century (Short 1995) - IMDb,André Elias,N/A,Short,Patrick Kaled,1995,N/A,17m
Last of the Dogmen (1995) - IMDb,Tab Murphy,6.9,Dark Comedy,Tom Berenger,1995,6.2K,1h 58m
Latent Greatness (1995) - IMDb,Jeff Solylo,N/A,N/A,N/A,1995,N/A,N/A
Latex (Video 1995) - IMDb,Michael Ninn,6.3,Adult,Sunset Thomas,1995,409,X
Latin for a Dark Room (Short 1995) - IMDb,Joe Ahearne,N/A,Dark Comedy,Siobhan Redmond,1995,N/A,22m
Lato milosci (1994) - IMDb,Feliks Falk,6.7,Drama,Siergiej Sznyriew,1994,67,1h 26m
Laughter and Loathing (TV Movie 1995) - IMDb,David Jeffcock,N/A,Documentary,N/A,1995,N/A,29m
I laureati (1995) - IMDb,Leonardo Pieraccioni,6.4,Comedy,Massimo Ceccherini,1995,1.5K,1h 28m
Leapin' Leprechauns! (1995) - IMDb,Ted Nicolaou,4.7,Family,Andrew Smith,1995,302,1h 24m
The Least of These (TV Movie 1995) - IMDb,Cheryl McKay,N/A,Drama,Jessica Hayden,1995,N/A,1995
Leaving Las Vegas (1995) - IMDb,Mike Figgis,7.5,Dark Romance,Nicolas Cage,1995,138K,1h 51m
Leckdonalds (Short 1995) - IMDb,Daniel Suljic,N/A,Short,N/A,1995,N/A,2m
Legacy of Sin: The William Coit Story (TV Movie 1995) - IMDb,Steven Schachter,5.7,Drama,Neil Patrick Harris,1995,230,1h 35m
Outlaws: The Legend of O.B. Taggart (1995) - IMDb,Rupert Hitzig,5.6,Western,Ben Johnson,1995,101,1h 38m
"""Tales of the Wild"" Les légendes du Grand Nord (TV Episode 1995) - IMDb",René Manzor,5.1,Adventure,Georges Corraface,PG,56,1h 36m
Legion of the Night (1995) - IMDb,Matt Jaissle,4.0,Action,Tim Lovelace,1995,147,1h 25m
Bullet to Beijing (TV Movie 1995) - IMDb,George Mihalka,5.4,Action,Anatoly Kulbitsky,1995,1.9K,R
Midnight in Saint Petersburg (TV Movie 1996) - IMDb,Douglas Jackson,4.9,Thriller,Michael Caine,1996,1.4K,R
Leona's Sister Gerri (TV Movie 1995) - IMDb,Jane Gillooly,8.0,Documentary,N/A,1995,40,57m
Leprechaun 3 (Video 1995) - IMDb,Brian Trenchard-Smith,5.0,Comedy,Warwick Davis,1995,9.7K,R
"""Great Performances"" Les Misérables in Concert (TV Episode 1995) - IMDb",Paul Kafno,9.2,Comedy,Alain Boublil,TV-G,2.5K,2h 40m
Let It Be Me (1995) - IMDb,Eleanor Bergstein,5.5,Drama,Campbell Scott,1995,797,1h 28m
Letnie lyudi (1995) - IMDb,Sergey Ursulyak,6.0,Drama,Irina Kupchenko,1995,52,1h 29m
A Letter for Dorrey (Short 1995) - IMDb,Larry Simmons,8.3,Drama,N/A,1995,39,4m
Letter to My Killer (TV Movie 1995) - IMDb,Janet Meyers,5.3,Thriller,Nick Chinlund,1995,149,PG-13
Lettera Amorosa (Short 1995) - IMDb,João César Monteiro,6.0,Comedy,N/A,1995,68,5m
Letters from the East (1995) - IMDb,Andrew Grieve,6.7,Drama,Ewa Fröling,1995,57,1h 50m
Das letzte Ufer (1995) - IMDb,Johannes Holzhausen,N/A,N/A,N/A,1995,N/A,55m
Levelek Perzsiából (1996) - IMDb,Rambod Lotfi,N/A,N/A,Mara Gere,1996,N/A,1h 25m
Lewis & Clark & George (1997) - IMDb,Rod McCall,5.3,Comedy,Rose McGowan,1997,748,1h 22m
La ley de la frontera (1995) - IMDb,Adolfo Aristarain,6.2,Adventure,Pere Ponce,1995,275,1h 55m
La leyenda de Balthasar el Castrado (1996) - IMDb,Juan Miñón,7.0,Drama,Imanol Arias,1996,59,1h 26m
Freedomfighters (1996) - IMDb,Vicente Aranda,6.9,Drama,Vicente Aranda,1996,2.2K,2h 5m
Lie Down with Dogs (1995) - IMDb,Wally White,4.8,Comedy,Wally White,1995,664,1h 24m
Full Throttle (1995) - IMDb,Derek Tung-Sing Yee,6.5,Action,Andy Lau,1995,640,1h 54m
Liebe Lügen (1995) - IMDb,Christof Schertenleib,7.4,Comedy,Silvia Zeitlinger Vas,1995,38,1h 51m
Lieberman in Love (Short 1995) - IMDb,Christine Lahti,6.5,Short,Danny Aiello,1995,152,39m
Liebling Kreuzberg (TV Series 1986–1998) - IMDb,Manfred Krug,7.2,Comedy,Manfred Krug,1986–1998,226,45m
Life 101 (Video 1995) - IMDb,Redge Mahaffey,5.5,Comedy,Redge Mahaffey,1995,241,Unrated
Life Itself (1995) - IMDb,United States,N/A,N/A,N/A,1995,N/A,N/A
Lighting the Seventh Fire (1995) - IMDb,Sandra Osawa,N/A,Documentary,N/A,1995,N/A,48m
Lilian's Story (1996) - IMDb,Jerzy Domaradzki,6.2,Drama,Ruth Cracknell,1996,327,1h 34m
The Limits of Thermal Travelling (1995) - IMDb,Mark Bender,8.2,Drama,Alexandra Adams,1995,40,1h 31m
Lindbergh's Great Race: 'Are There Any Mechanics Here?' (Video 1995) - IMDb,Cameron Richardson,5.3,Documentary,N/A,1995,8,1h 28m
Le lion et l'agneau (Short 1996) - IMDb,Luc Beauchamp,7.1,Short,N/A,1996,41,8m
Lipton Cockton in the Shadows of Sodoma (1995) - IMDb,Jari Halonen,5.6,Mystery,Jari Halonen,1995,344,1h 23m
Lisa und die Säbelzahntiger (1996) - IMDb,Bernd Neuburger,6.4,Drama,Cornelia Lippert,1996,20,1h 30m
Liste noire (1995) - IMDb,Jean-Marc Vallée,6.1,Drama,Michel Côté,1995,596,1h 30m
A Litany for Survival: The Life and Work of Audre Lorde (1995) - IMDb,Ada Gay Griffin,9.0,Documentary,N/A,1995,26,1h 20m
Little Criminals (TV Movie 1996) - IMDb,Stephen Surjik,7.8,Crime,Brendan Fletcher,1996,808,1h 31m
The Little Death (1996) - IMDb,Jan Verheyen,4.7,Crime,Brent David Fraser,1996,328,1h 31m
The Little Patriot (1995) - IMDb,J. Christian Ingvordsen,4.2,Adventure,J. Christian Ingvordsen,1995,126,1h 30m
A Little Princess (1995) - IMDb,Alfonso Cuarón,7.6,Drama,Liesel Matthews,1995,37K,1h 37m
Little Surprises (TV Movie 1996) - IMDb,Jeff Goldblum,7.3,Comedy,Christine Cavanaugh,1996,124,36m
Doctor Mack (1995) - IMDb,Chi-Ngai Lee,6.7,Comedy,Tony Leung Chiu-wai,1995,616,1h 38m
Live Bait (1995) - IMDb,Bruce Sweeney,6.6,Comedy,Tom Scholte,1995,50,1h 24m
Live Nude Girls (1995) - IMDb,Julianna Lavin,5.2,Comedy,Dana Delany,1995,2K,1h 35m
The Real Thing (1996) - IMDb,James Merendino,5.0,Caper,James Russo,1996,262,1h 29m
The Living Sea (Short 1995) - IMDb,Greg MacGillivray,7.1,Documentary,Steven K. Katona,1995,631,40m
Living in Oblivion (1995) - IMDb,Tom DiCillo,7.5,Satire,Steve Buscemi,1995,21K,1h 30m
The Unspoken Truth (TV Movie 1995) - IMDb,Peter Werner,5.4,True Crime,Lea Thompson,1995,193,Not Rated
The Living (Short) - IMDb,Paul A. Wagner III,N/A,Short,Shannon Koob,N/A,N/A,N/A
Liz: The Elizabeth Taylor Story (TV Movie 1995) - IMDb,Kevin Connor,6.2,Biography,Sherilyn Fenn,1995,552,3h 30m
Liza i Eliza (1995) - IMDb,Nana Kldiashvili,N/A,Family,Svetlana Amanova,1995,N/A,1h 16m
Loch Ness (1996) - IMDb,John Henderson,5.5,Adventure,Ted Danson,1996,5K,1h 41m
Das Loch (Short 1995) - IMDb,Matthias Heise,6.8,Drama,N/A,1995,13,12m
Lock-Up: The Prisoners of Rikers Island (1994) - IMDb,Jon Alpert,7.6,Crime,Jon Alpert,1994,242,1h 15m
Lola Mora (1996) - IMDb,Javier Torre,6.2,Biography,Leonor Benedetto,1996,19,1h 45m
Lone Justice 2 (1995) - IMDb,Jack Bender,7.5,Drama,Brad Johnson,1995,46,1h 33m
Looking for Dubinsky (Short 1996) - IMDb,Christopher Grimm,N/A,Comedy,N/A,1996,N/A,N/A
Looping (Short 1996) - IMDb,Gert Duve Skovlund,N/A,Drama,Frits Helmuth,1996,N/A,42m
Loose Lately (1995) - IMDb,Shelley Allen,N/A,Action,Shelley Allen,1995,N/A,N/A
Lord of Illusions (1995) - IMDb,Clive Barker,6.0,Horror,Clive Barker,1995,20K,1h 49m
Losing Isaiah (1995) - IMDb,Stephen Gyllenhaal,6.4,Drama,Jessica Lange,1995,6.6K,1h 51m
Le jardin oublié: La vie et l'oeuvre d'Alice Guy-Blaché (1996) - IMDb,Marquise Lepage,7.1,Biography,Alice Guy,1996,102,53m
The Lost Portrait (TV Movie 1995) - IMDb,Chris Granlund,N/A,Documentary,N/A,1995,N/A,1995
Lost on the Bohemian Road (1995) - IMDb,Sean Hoessli,6.4,Comedy,Terri Heffron,1995,27,1h 29m
Lotto Land (1995) - IMDb,John Rubino,6.3,Drama,Lawrence Gilliard Jr.,1995,66,1h 27m
"Lou, Pat & Joe D (1988) - IMDb",Stephen Vittoria,7.1,Drama,Kim Delgado,1988,19,1h 44m
Loungers (1995) - IMDb,Marc Forster,6.3,Musical,N/A,1995,68,N/A
Lourdes de segunda mano (Short 1995) - IMDb,Chema de la Peña,4.5,Comedy,Álex Angulo,1995,13,17m
Love Child (Short 1996) - IMDb,Patrick Sisam,6.5,Short,Dov Tiefenbach,1996,165,23m
Loved Up (TV Movie 1995) - IMDb,Peter Cattaneo,6.9,Drama,Lena Headey,1995,405,TV-MA
Lover's Leap (1995) - IMDb,Paul Thomas,4.1,Drama,Carrie Westcott,1995,179,1h 30m
Lover's Tears (1996) - IMDb,Kwok-Lap Li,5.1,Drama,Yue Dung Cheung,1996,12,1h 31m
Lovers (TV Movie 1995) - IMDb,Xaver Schwarzenberger,4.3,Comedy,Michaela May,1995,13,1h 30m
"""Screen Two"" Loving (TV Episode 1996) - IMDb",Diarmuid Lawrence,6.7,Drama,Mark Rylance,TV-14,43,1h 35m
Low (1995) - IMDb,Lise Raven,7.6,N/A,Robert Alexander,1995,20,1h 35m
Lucky Punch (1996) - IMDb,Dominique Ladoge,5.6,Drama,Karl Makinen,1996,40,1h 40m
Luggi L. ist nicht zu fassen (1995) - IMDb,Hans-Erich Viet,N/A,Biography,N/A,1995,N/A,1h 14m
Lumière and Company (1995) - IMDb,Theodoros Angelopoulos,6.9,Documentary,Theodoros Angelopoulos,1995,3.4K,1h 28m
Lunarcop (1995) - IMDb,Boaz Davidson,4.4,Action,Michael Paré,1995,535,1h 28m
All Things Fair (1995) - IMDb,Bo Widerberg,6.8,Drama,Johan Widerberg,1995,7.9K,2h 10m
My Woman Is Leaving Me (1996) - IMDb,Didier Kaminka,4.0,Comedy,Pierre Aknine,1996,96,1h 30m
Ma je pomsta (1995) - IMDb,Lordan Zafranovic,5.7,Drama,Jirí Bartoska,1995,27,1h 42m
Highway Man (1995) - IMDb,Herman Yau,5.7,Drama,Julian Cheung,1995,27,1h 32m
The Age of Miracles (1996) - IMDb,Peter Ho-Sun Chan,6.3,Drama,Ella Bo-wah Chan,1996,109,1h 40m
Maborosi (1995) - IMDb,Hirokazu Koreeda,7.5,Drama,Makiko Esumi,1995,7.7K,1h 50m
Super Dimensional Fortress Macross II: Lovers Again (TV Series 1992) - IMDb,Kazumi Fujita,6.0,Anime,Kazumi Fujita,1992,679,13+
Macumba (Short 1995) - IMDb,Dietmar Brehm,6.6,Short,N/A,1995,21,18m
Mad Love (1995) - IMDb,Antonia Bird,5.3,Comedy,Chris O'Donnell,1995,7.1K,1h 33m
Madagascar Skin (1995) - IMDb,Chris Newby,6.0,Comedy,Bernard Hill,1995,313,1h 36m
Madame Butterfly (1995) - IMDb,Frédéric Mitterrand,7.0,Drama,Ying Huang,1995,650,2h 14m
The Maddening (1995) - IMDb,Danny Huston,4.8,Psychological Thriller,Burt Reynolds,1995,906,1h 35m
La madre (Short 1996) - IMDb,Miguel Bardem,6.2,Dark Comedy,Pilar Bardem,1996,106,16m
The Maestro: King of the Cowboy Artists (1995) - IMDb,Les Blank,7.0,Documentary,Gerald Gaxiola,1995,273,54m
The Magic 7 (TV Movie 1996) - IMDb,Roger Holzberg,6.4,Adventure,Jason Aaron Baca,1996,256,1996
Magic Island (Video 1995) - IMDb,Sam Irvin,5.8,Action,Zachery Ty Bryan,1995,723,PG
Magic in the Water (1995) - IMDb,Rick Stevenson,5.4,Adventure,Rick Stevenson,1995,2.2K,1h 41m
Magical Twilight 2 (Video 1995) - IMDb,Toshiaki Komura,6.4,Adult,N/A,1995,51,Unrated
Magical Twilight 3 (Video 1995) - IMDb,Toshiaki Komura,5.8,Adult,N/A,1995,45,1995
"""Maigret"" Maigret en Finlande (TV Episode 1996) - IMDb",Pekka Parikka,6.9,Crime,Bruno Cremer,N/A,143,1h 28m
Make Some Noise (1994) - IMDb,Andrew Munger,N/A,Documentary,N/A,1994,N/A,1h
Making Change (Short 2000) - IMDb,Colina Phillips,N/A,Short,"June 2, 2000 (Japan)",2000,N/A,18m
You Can't Do That! The Making of 'A Hard Day's Night' (Video 1996) - IMDb,David Leaf,7.4,Documentary,Phil Collins,1996,186,1h 2m
Y Mapiwr (1995) - IMDb,Endaf Emlyn,7.8,Drama,Gavin Ashcroft,1995,12,1h 30m
Marks (1995) - IMDb,Yôichi Sai,6.1,Mystery,Masato Hagiwara,1995,69,2h 18m
Mala sangre (Video 1995) - IMDb,Ricardo Islas,8.2,Horror,N/A,1995,42,1h 33m
Malevolence (1999) - IMDb,Belle Avery,6.0,Drama,Joe Cortese,1999,53,1h 36m
Malicious (1995) - IMDb,Ian Corson,5.1,Psychological Thriller,Molly Ringwald,1995,1.5K,1h 32m
Mallrats (1995) - IMDb,Kevin Smith,7.0,Farce,Shannen Doherty,1995,131K,1h 34m
"Mami, ich will bei dir bleiben (TV Movie 1995) - IMDb",Sigi Rothemund,N/A,Drama,Julia Bremermann,1995,N/A,1995
The Man Next Door (TV Movie 1996) - IMDb,Lamont Johnson,5.6,Drama,Michael Ontkean,1996,246,R
The Man Who Wouldn't Die (TV Movie 1994) - IMDb,Bill Condon,5.4,Crime,Roger Moore,1994,447,1h 30m
Man in Motion (Short 1995) - IMDb,Noud Heerkens,N/A,Short,N/A,1995,N/A,9m
The Man in the Attic (TV Movie 1995) - IMDb,Graeme Campbell,5.8,Biography,Norman Winski,1995,295,R
Man of the House (1995) - IMDb,James Orr,5.3,Comedy,David E. Peckinpah,1995,11K,1h 36m
Man of the Year (1995) - IMDb,Dirk Shafer,5.9,Comedy,Vivian Paxton,1995,351,1h 26m
A Chinese Torture Chamber Story (1994) - IMDb,Bosco Lam,5.9,Comedy,Yvonne Hung Yung,1994,1.5K,1h 33m
Man with a Plan (1996) - IMDb,John O'Brien,8.1,Satire,Fred Tuttle,1996,150,1h 29m
The Man with the Perfect Swing (1995) - IMDb,Michael Hovis,7.7,Comedy,James Monroe Black,1995,49,1h 35m
The Mandarin (1995) - IMDb,Júlio Bressane,7.1,Musical,Júlio Bressane,1995,73,1h 30m
Manden der fik lov at gå (1995) - IMDb,Katrin Ottarsdóttir,6.0,Drama,Anneli Aeristos,1995,23,1h
The Mangler (1995) - IMDb,Tobe Hooper,4.4,Drama,Tobe Hooper,1995,10K,1h 46m
